;Name;Status;2016;2017;2018;2019;2020
Hải Dương;Thanh Miện;District;133527.42507;134850.79108;136187.27273;137537;138886.72727
Hải Dương;Tứ Kỳ;District;172209.63175;173857.92759;175522;177202;178882
Hải Phòng;Hải Phòng;Municipality;1976776.29219;1993873.88738;2011119.36364;2028514;2045908.63636
Hải Phòng;An Dương;District;186334.86107;189411.17258;192538.27273;195717;198895.72727
Hải Phòng;An Lão;District;142820.73709;144106.2198;145403.27273;146712;148020.72727
Hải Phòng;Bạch Long Vĩ;District;702.93036;675.56903;649.27273;624;598.72727
Hải Phòng;Cát Hải;District;31436.12847;31652.5917;31870.54545;32090;32309.45455
Hải Phòng;Đồ Sơn;Urban District;47807.91617;48211.5271;48618.54545;49029;49439.45455
Hải Phòng;Dương Kinh;Urban District;57205.34849;58224.95141;59262.72727;60319;61375.27273
Hải Phòng;Hải An;Urban District;125012.6753;127602.11058;130245.18182;132943;135640.81818
Hải Phòng;Hồng Bàng;Urban District;97622.67507;97116.15987;96612.27273;96111;95609.72727
Hải Phòng;Kiến An;Urban District;112505.85323;114323.38192;116170.27273;118047;119923.72727
Hải Phòng;Kiến Thụy;District;136608.41686;137866.32602;139135.81818;140417;141698.18182
Hải Phòng;Lê Chân;Urban District;217007.04749;217921.50609;218839.81818;219762;220684.18182
Hải Phòng;Ngô Quyền;Urban District;165118.98194;165182.29701;165245.63636;165309;165372.36364
Hải Phòng;Thủy Nguyên;District;325502.78914;328248.63121;331017.63636;333810;336602.36364
Hải Phòng;Tiên Lãng;District;151136.02821;152344.00482;153561.63636;154789;156016.36364
Hải Phòng;Vĩnh Bảo;District;180188.23906;181066.20785;181948.45455;182835;183721.54545
Hà Nam;Hà Nam;Province;834185.73557;840344.90257;846549.54545;852800;859050.45455
Hà Nam;Bình Lục;District;132983.28258;133004.1851;133025.09091;133046;133066.90909
Hà Nam;Duy Tiên;District;130861.10469;132924.69079;135020.81818;137150;139279.18182
Hà Nam;Kim Bảng;District;124456.51605;124847.77937;125240.27273;125634;126027.72727
Hà Nam;Lý Nhân;District;179015.82807;179406.03422;179797.09091;180189;180580.90909
Hà Nam;Phủ Lý;District-level City;150122.73893;152772.12743;155468.27273;158212;160955.72727
Hà Nam;Thanh Liêm;District;116864.23616;117429.7498;117998;118569;119140
Hà Nội;Hà Nội;Municipality;7624671.70631;7765067.76934;7908049;8053663;8199277
Hà Nội;Bắc Từ Liêm;Urban District;305447.84148;315031.39493;324915.63636;335110;345304.36364
Hà Nội;Ba Đình;Urban District;222990.34944;222623.96464;222258.18182;221893;221527.81818
Hà Nội;Ba Vì;District;278622.4223;282552.58325;286538.18182;290580;294621.81818
Hà Nội;Cầu Giấy;Urban District;274669.06996;280500.0508;286454.81818;292536;298617.18182
Hà Nội;Chương Mỹ;District;323615.96055;328122.9146;332692.63636;337326;341959.36364
Hà Nội;Đan Phượng;District;165912.87254;168727.56087;171590;174501;177412
Hà Nội;Đông Anh;District;386318.94513;392689.98354;399166.09091;405749;412331.90909
Hà Nội;Đống Đa;Urban District;371200.057;371335.32204;371470.63636;371606;371741.36364
Hà Nội;Gia Lâm;District;271002.87516;275945.2336;280977.72727;286102;291226.27273
Hà Nội;Hà Đông;Urban District;354600.50424;368468.87537;382879.63636;397854;412828.36364
Hà Nội;Hai Bà Trưng;Urban District;301447.40512;302158.5909;302871.45455;303586;304300.54545
Hà Nội;Hoài Đức;District;243859.51995;250072.69957;256444.18182;262978;269511.81818
Hà Nội;Hoàng Mai;Urban District;461169.28741;475761.90552;490816.27273;506347;521877.72727
Hà Nội;Hoàn Kiếm;Urban District;138838.43285;137756.54663;136683.09091;135618;134552.90909
Hà Nội;Long Biên;Urban District;297163.18257;305394.98463;313854.81818;322549;331243.18182
Hà Nội;Mê Linh;District;227420.22468;231716.79821;236094.54545;240555;245015.45455
Hà Nội;Mỹ Đức;District;191856.30382;194501.23853;197182.63636;199901;202619.36364
Hà Nội;Nam Từ Liêm;Urban District;239261.24744;247315.33677;255640.54545;264246;272851.45455
Hà Nội;Phúc Thọ;District;177412.08029;179589.22696;181793.09091;184024;186254.90909
Hà Nội;Phú Xuyên;District;205216.72068;208098.49025;211020.72727;213984;216947.27273
Hà Nội;Quốc Oai;District;185227.28689;188239.60362;191300.90909;194412;197523.09091
Hà Nội;Sóc Sơn;District;327090.27648;332449.23832;337896;343432;348968
Hà Nội;Sơn Tây;District-level Town;140440.70928;142223.0897;144028.09091;145856;147683.90909
Hà Nội;Tây Hồ;Urban District;152489.37948;155112.53675;157780.81818;160495;163209.18182
Hà Nội;Thạch Thất;District;206088.45133;209519.52805;213007.72727;216554;220100.27273
Hà Nội;Thanh Oai;District;199313.03487;203144.24106;207049.09091;211029;215008.90909
Hà Nội;Thanh Trì;District;255263.48711;261915.78956;268741.45455;275745;282748.54545
Hà Nội;Thanh Xuân;Urban District;274888.37056;280964.93148;287175.81818;293524;299872.18182
Hà Nội;Thường Tín;District;245154.56961;248296.60434;251478.90909;254702;257925.09091
Hà Nội;Ứng Hòa;District;203095.34879;205654.19105;208245.27273;210869;213492.72727
Hà Tĩnh;Hà Tĩnh;Province;1272077.24703;1277649.05737;1283245.27273;1288866;1294486.72727
Hà Tĩnh;Cẩm Xuyên;District;147115.59584;147844.447;148576.90909;149313;150049.09091
Hà Tĩnh;Can Lộc;District;128666.75381;128810.34224;128954.09091;129098;129241.90909
Hà Tĩnh;Đức Thọ;District;102375.25199;102103.447;101832.36364;101562;101291.63636
Hà Tĩnh;Hà Tĩnh;District-level City;99978.22863;101313.24647;102666.09091;104037;105407.90909
Hà Tĩnh;Hồng Lĩnh;District-level Town;37605.33582;37871.9952;38140.54545;38411;38681.45455
Hà Tĩnh;Hương Khê;District;99554.02272;99471.61361;99389.27273;99307;99224.72727
Hà Tĩnh;Hương Sơn;District;113723.96322;113289.6523;112857;112426;111995
Hà Tĩnh;Kỳ Anh;District;118542.32427;119573.22499;120613.09091;121662;122710.90909
Hà Tĩnh;Kỳ Anh;District-level Town;77338.21808;79166.89835;81038.81818;82955;84871.18182
Hà Tĩnh;Lộc Hà;District;79075.49881;79109.65112;79143.81818;79178;79212.18182
Hà Tĩnh;Nghi Xuân;District;100983.63527;101374.24401;101766.36364;102160;102553.63636
Hà Tĩnh;Thạch Hà;District;138086.74837;138791.89195;139500.63636;140213;140925.36364
Hà Tĩnh;Vũ Quang;District;29216.02419;28990.2763;28766.27273;28544;28321.72727
Hậu Giang;Hậu Giang;Province;739659.60104;737438.73913;735224.54545;733017;730809.45455
Hậu Giang;Châu Thành;District;86380.31154;86942.86938;87509.09091;88079;88648.90909
Hậu Giang;Châu Thành A;District;98541.42702;98228.62614;97916.81818;97606;97295.18182
Hậu Giang;Long Mỹ;District;79239.51776;78603.24982;77972.09091;77346;76719.90909
Hậu Giang;Long Mỹ;District-level Town;64712.59475;63911.52097;63120.36364;62339;61557.63636
Hậu Giang;Ngã Bảy;District-level Town;56637.3154;56485.13507;56333.36364;56182;56030.63636
Hậu Giang;Phụng Hiệp;District;188716.31979;188482.92466;188249.81818;188017;187784.18182
Hậu Giang;Vị Thanh;District-level City;72798.25204;72972.41768;73147;73322;73497
Hậu Giang;Vị Thủy;District;92700.12527;91834.01655;90976;90126;89276
Hòa Bình;Hòa Bình;Province;835473.79188;841647.13389;847866.09091;854131;860395.90909
Hòa Bình;Cao Phong;District;44248.11142;44651.715;45059;45470;45881
Hòa Bình;Đà Bắc;District;53886.80494;54256.00136;54627.72727;55002;55376.27273
Hòa Bình;Hòa Bình;District-level City;98204.7689;99347.82307;100504.18182;101674;102843.81818
Hòa Bình;Kim Bôi;District;115126.56924;116327.47573;117540.90909;118767;119993.09091
Hòa Bình;Kỳ Sơn;District;33212.23108;33487.20452;33764.45455;34044;34323.54545
Hòa Bình;Lạc Sơn;District;135478.55676;135868.5806;136259.72727;136652;137044.27273
Hòa Bình;Lạc Thủy;District;59206.31309;59599.26165;59994.81818;60393;60791.18182
Hòa Bình;Lương Sơn;District;96780.82334;97664.78388;98556.81818;99457;100357.18182
Hòa Bình;Mai Châu;District;54671.49266;54992.44063;55315.27273;55640;55964.72727
Hòa Bình;Tân Lạc;District;84665.33467;85400.16031;86141.36364;86889;87636.63636
Hòa Bình;Yên Thủy;District;60019.53912;60060.66456;60101.81818;60143;60184.18182
Hưng Yên;Hưng Yên;Province;1218994.46008;1230137.79709;1241383;1252731;1264079
Hưng Yên;Ân Thi;District;132606.96915;133202.96343;133801.63636;134403;135004.36364
Hưng Yên;Hưng Yên;District-level City;113432.64803;114398.84544;115373.27273;116356;117338.72727
Hưng Yên;Khoái Châu;District;186392.44926;187011.24294;187632.09091;188255;188877.90909
Hưng Yên;Kim Động;District;116068.73183;116621.18751;117176.27273;117734;118291.72727
Hưng Yên;Mỹ Hào;District;107549.23226;109256.25107;110990.36364;112752;114513.63636
Hưng Yên;Phù Cừ;District;79255.67934;79487.77256;79720.54545;79954;80187.45455
Hưng Yên;Tiên Lữ;District;90914.52176;91643.15922;92377.63636;93118;93858.36364
Hưng Yên;Văn Giang;District;114986.96809;116892.55775;118829.72727;120799;122768.27273
Hưng Yên;Văn Lâm;District;127630.48232;129404.54776;131203.27273;133027;134850.72727
Hưng Yên;Yên Mỹ;District;150249.21515;152250.37187;154278.18182;156333;158387.81818
Khánh Hòa;Khánh Hòa;Province;1211169.33576;1217779.08663;1224424.90909;1231107;1237789.09091
Khánh Hòa;Cam Lâm;District;106776.99977;107506.01125;108240;108979;109718
Khánh Hòa;Cam Ranh;District-level City;128169.11917;129044.75032;129926.36364;130814;131701.63636
Khánh Hòa;Diên Khánh;District;140099.62651;141129.16676;142166.27273;143211;144255.72727
Khánh Hòa;Khánh Sơn;District;24162.81683;24551.91197;24947.27273;25349;25750.72727
Khánh Hòa;Khánh Vĩnh;District;38148.46418;38684.73551;39228.54545;39780;40331.45455
Khánh Hòa;Nha Trang;District-level City;414385.18761;417105.88951;419844.45455;422601;425357.54545
Khánh Hòa;Ninh Hòa;District-level Town;230142.01253;230111.00418;230080;230049;230018
Khánh Hòa;Trường Sa;District;123.68403;112.47001;102.27273;93;83.72727
Khánh Hòa;Vạn Ninh;District;129209.86241;129549.34886;129889.72727;130231;130572.27273
Kiên Giang;Kiên Giang;Province;1713588.34322;1716742.08766;1719901.63636;1723067;1726232.36364
Kiên Giang;An Biên;District;117096.29711;116466.82025;115840.72727;115218;114595.27273
Kiên Giang;An Minh;District;115540.6382;115600.39456;115660.18182;115720;115779.81818
Kiên Giang;Châu Thành;District;156546.59003;157560.15023;158580.27273;159607;160633.72727
Kiên Giang;Giang Thành;District;28639.54743;28830.09438;29021.90909;29215;29408.09091
Kiên Giang;Giồng Riềng;District;221085.25811;222268.82462;223458.72727;224655;225851.27273
Kiên Giang;Gò Quao;District;133612.60067;133243.3811;132875.18182;132508;132140.81818
Kiên Giang;Hà Tiên;District-level City;47472.99197;47811.24547;48151.90909;48495;48838.09091
Kiên Giang;Hòn Đất;District;159183.70485;158207.49544;157237.27273;156273;155308.72727
Kiên Giang;Kiên Hải;District;18480.59712;18178.14173;17880.63636;17588;17295.36364
Kiên Giang;Kiên Lương;District;79009.04011;79167.04388;79325.36364;79484;79642.63636
Kiên Giang;Phú Quốc;District;131589.92663;136236.60386;141047.36364;146028;151008.63636
Kiên Giang;Rạch Giá;District-level City;227196.88705;227306.87145;227416.90909;227527;227637.09091
Kiên Giang;Tân Hiệp;District;130137.61899;128559.00769;126999.54545;125459;123918.45455
Kiên Giang;U Minh Thượng;District;64608.50101;64208.19218;63810.36364;63415;63019.63636
Kiên Giang;Vĩnh Thuận;District;84054.88313;83321.88186;82595.27273;81875;81154.72727
Kon Tum;Kon Tum;Province;510909.55371;520568.60808;530410.27273;540438;550465.72727
Kon Tum;Đắk Glei;District;46111.05381;46977.96856;47861.18182;48761;49660.81818
Kon Tum;Đắk Hà;District;71278.28537;72434.98454;73610.45455;74805;75999.54545
Kon Tum;Đắk Tô;District;44841.25941;45724.6553;46625.45455;47544;48462.54545
Kon Tum;Ia H'Drai;District;8557.75627;9076.43265;9626.54545;10210;10793.45455
Kon Tum;Kon Plông;District;24649.51563;25099.73709;25558.18182;26025;26491.81818
Kon Tum;Kon Rẫy;District;26993.79197;27516.02612;28048.36364;28591;29133.63636
Kon Tum;Kon Tum;District-level City;161493.70751;163719.64953;165976.27273;168264;170551.72727
Kon Tum;Ngọc Hồi;District;54375.21921;55847.58444;57359.81818;58913;60466.18182
Kon Tum;Sa Thầy;District;46587.66308;47671.05269;48779.63636;49914;51048.36364
Kon Tum;Tu Mơ Rông;District;26092.80488;26525.00479;26964.36364;27411;27857.63636
Lai Châu;Lai Châu;Province;436164.87094;444032.47695;452042;460196;468350
Lai Châu;Lai Châu;District-level City;37795.60122;39076.81237;40401.45455;41771;43140.54545
Lai Châu;Mường Tè;District;43842.85959;44596.54259;45363.18182;46143;46922.81818
Lai Châu;Nậm Nhùn;District;24857.83722;25634.38017;26435.18182;27261;28086.81818
Lai Châu;Phong Thổ;District;76079.65624;77250.00804;78438.36364;79645;80851.63636
Lai Châu;Sìn Hồ;District;80463.2574;81509.5084;82569.36364;83643;84716.63636
Lai Châu;Tam Đường;District;53577.50803;54398.68819;55232.45455;56079;56925.54545
Lai Châu;Tân Uyên;District;54763.24476;55854.92316;56968.36364;58104;59239.63636
Lai Châu;Than Uyên;District;64838.03382;65729.70385;66633.63636;67550;68466.36364
Lâm Đồng;Lâm Đồng;Province;1267316.11686;1277103.62749;1286966.72727;1296906;1306845.27273
Lâm Đồng;Bảo Lâm;District;115691.69427;116485.66813;117285.09091;118090;118894.90909
Lâm Đồng;Bảo Lộc;District-level City;155940.77941;156849.87616;157764.27273;158684;159603.72727
Lâm Đồng;Cát Tiên;District;35784.17258;35616.32902;35449.27273;35283;35116.72727
Lâm Đồng;Đạ Huoai;District;33848.76435;33898.43664;33948.18182;33998;34047.81818
Lâm Đồng;Đà Lạt;District-level City;220820.82566;222723.44351;224642.45455;226578;228513.54545
Lâm Đồng;Đam Rông;District;50018.47647;51380.55612;52779.72727;54217;55654.27273
Lâm Đồng;Đạ Tẻh;District;43522.8164;43486.84788;43450.90909;43415;43379.09091
Lâm Đồng;Di Linh;District;158533.37657;159018.7634;159505.63636;159994;160482.36364
Lâm Đồng;Đơn Dương;District;103620.08656;104826.29546;106046.54545;107281;108515.45455
Lâm Đồng;Đức Trọng;District;181416.98047;183250.72261;185103;186974;188845
Lâm Đồng;Lạc Dương;District;25660.58412;26403.97844;27168.90909;27956;28743.09091
Lâm Đồng;Lâm Hà;District;142603.9826;143212.05849;143822.72727;144436;145049.27273
Lạng Sơn;Lạng Sơn;Province;768329.62926;772745.98566;777187.72727;781655;786122.27273
Lạng Sơn;Bắc Sơn;District;70307.82552;70856.58935;71409.63636;71967;72524.36364
Lạng Sơn;Bình Gia;District;52524.98866;52579.6023;52634.27273;52689;52743.72727
Lạng Sơn;Cao Lộc;District;78151.7866;78721.36319;79295.09091;79873;80450.90909
Lạng Sơn;Chi Lăng;District;74742.72931;74849.33408;74956.09091;75063;75169.90909
Lạng Sơn;Đình Lập;District;27996.63742;28189.42764;28383.54545;28579;28774.45455
Lạng Sơn;Hữu Lũng;District;119220.51402;120052.85153;120891;121735;122579
Lạng Sơn;Lạng Sơn;District-level City;98979.93753;100394.31787;101828.90909;103284;104739.09091
Lạng Sơn;Lộc Bình;District;83002.19833;83577.46926;84156.72727;84740;85323.27273
Lạng Sơn;Tràng Định;District;59449.79554;59575.26537;59701;59827;59953
Lạng Sơn;Văn Lãng;District;49833.03485;49787.31464;49741.63636;49696;49650.36364
Lạng Sơn;Văn Quan;District;54165.46276;54177.6391;54189.81818;54202;54214.18182
Lào Cai;Lào Cai;Province;699284.54905;709512.70029;719890.45455;730420;740949.54545
Lào Cai;Bắc Hà;District;62185.29485;63218.92075;64269.72727;65338;66406.27273
Lào Cai;Bảo Thắng;District;109409.09409;110559.58892;111722.18182;112897;114071.81818
Lào Cai;Bảo Yên;District;83092.99408;83908.63028;84732.27273;85564;86395.72727
Lào Cai;Bát Xát;District;79312.70117;80436.79384;81576.81818;82733;83889.18182
Lào Cai;Lào Cai;District-level City;119978.47666;122548.21851;125173;127854;130535
Lào Cai;Mường Khương;District;60588.13714;61602.35257;62633.54545;63682;64730.45455
Lào Cai;Sa Pa;District;62437.81888;63505.19512;64590.81818;65695;66799.18182
Lào Cai;Si Ma Cai;District;35833.11729;36377.11119;36929.36364;37490;38050.63636
Lào Cai;Văn Bàn;District;86481.60042;87367.62508;88262.72727;89167;90071.27273
Long An;Long An;Province;1620620.31356;1642953.36672;1665594.18182;1688547;1711499.81818
Long An;Bến Lức;District;172797.52338;175702.56936;178656.45455;181660;184663.54545
Long An;Cần Đước;District;182324.14934;183987.21712;185665.45455;187359;189052.54545
Long An;Cần Giuộc;District;202643.58951;206653.84123;210743.45455;214914;219084.54545
Long An;Châu Thành;District;106466.64912;107570.28621;108685.36364;109812;110938.63636
Long An;Đức Hòa;District;289217.34032;297791.83777;306620.54545;315711;324801.45455
Long An;Đức Huệ;District;64089.79674;64707.55744;65331.27273;65961;66590.72727
Long An;Kiến Tường;District-level Town;42963.88385;43199.29697;43436;43674;43912
Long An;Mộc Hóa;District;28149.45741;28154.63732;28159.81818;28165;28170.18182
Long An;Tân An;District-level City;141724.11112;142847.15145;143979.09091;145120;146260.90909
Long An;Tân Hưng;District;47675.82249;47667.54689;47659.27273;47651;47642.72727
Long An;Tân Thạnh;District;76996.62386;77176.32949;77356.45455;77537;77717.54545
Long An;Tân Trụ;District;64818.94693;65375.17778;65936.18182;66502;67067.81818
Long An;Thạnh Hóa;District;55401.16377;55624.54065;55848.81818;56074;56299.18182
Long An;Thủ Thừa;District;95872.53905;96685.77494;97505.90909;98333;99160.09091
Long An;Vĩnh Hưng;District;49882.51732;49946.26338;50010.09091;50074;50137.90909
Nam Định;Nam Định;Province;1793438.73489;1789079.56971;1784731;1780393;1776055
Nam Định;Giao Thủy;District;173579.01443;171614.52699;169672.27273;167752;165831.72727
Nam Định;Hải Hậu;District;261257.98011;261804.50932;262352.18182;262901;263449.81818
Nam Định;Mỹ Lộc;District;71598.51625;71902.38603;72207.54545;72514;72820.45455
Nam Định;Nam Định;District-level City;238178.62472;237548.75223;236920.54545;236294;235667.45455
Nam Định;Nam Trực;District;185726.33427;184894.16646;184065.72727;183241;182416.27273
Nam Định;Nghĩa Hưng;District;176538.16116;176287.08385;176036.36364;175786;175535.63636
Nam Định;Trực Ninh;District;173668.0123;173296.88232;172926.54545;172557;172187.45455
Nam Định;Vụ Bản;District;130536.90594;130645.18079;130753.54545;130862;130970.45455
Nam Định;Xuân Trường;District;153958.26431;152450.7975;150958.09091;149480;148001.90909
Nam Định;Ý Yên;District;228502.9143;228670.48662;228838.18182;229006;229173.81818
Nghệ An;Nghệ An;Province;3215687.54896;3252629.35356;3289995.54545;3327791;3365586.45455
Nghệ An;Anh Sơn;District;112196.93678;113750.35091;115325.27273;116922;118518.72727
Nghệ An;Con Cuông;District;72226.85268;73194.22086;74174.54545;75168;76161.45455
Nghệ An;Cửa Lò;District-level Town;54264.24023;54728.18229;55196.09091;55668;56139.90909
Nghệ An;Diễn Châu;District;300112.01153;304187.73926;308318.81818;312506;316693.18182
Nghệ An;Đô Lương;District;205476.12959;208130.64542;210819.45455;213543;216266.54545
Nghệ An;Hoàng Mai;District-level Town;108250.65354;109927.65504;111630.63636;113360;115089.36364
Nghệ An;Hưng Nguyên;District;120520.84198;121749.65657;122991;124245;125499
Nghệ An;Kỳ Sơn;District;77387.99764;78342.83555;79309.45455;80288;81266.54545
Nghệ An;Nam Đàn;District;160628.38698;161952.64384;163287.81818;164634;165980.18182
Nghệ An;Nghĩa Đàn;District;135606.38431;137223.23502;138859.36364;140515;142170.63636
Nghệ An;Nghi Lộc;District;208901.02581;211892.63736;214927.09091;218005;221082.90909
Nghệ An;Quế Phong;District;69297.30919;70167.23967;71048.09091;71940;72831.90909
Nghệ An;Quỳ Châu;District;56412.82191;56875.7389;57342.45455;57813;58283.54545
Nghệ An;Quỳ Hợp;District;129411.02005;130973.08255;132554;134154;135754
Nghệ An;Quỳnh Lưu;District;269613.19708;271810.50828;274025.72727;276259;278492.27273
Nghệ An;Tân Kỳ;District;142413.99342;144010.3677;145624.63636;147257;148889.36364
Nghệ An;Thái Hòa;District-level Town;64459.84638;65010.841;65566.54545;66127;66687.45455
Nghệ An;Thanh Chương;District;232824.07875;235455.53224;238116.72727;240808;243499.27273
Nghệ An;Tương Dương;District;76359.81011;76846.76149;77336.81818;77830;78323.18182
Nghệ An;Vinh;District-level City;329550.78607;332708.17681;335895.81818;339114;342332.18182
Nghệ An;Yên Thành;District;289823.17102;293708.13818;297645.18182;301635;305624.81818
Ninh Bình;Ninh Bình;Province;959892.98901;967365.9958;974897.18182;982487;990076.81818
Ninh Bình;Gia Viễn;District;119556.62295;120033.17987;120511.63636;120992;121472.36364
Ninh Bình;Hoa Lư;District;70308.5442;70815.03865;71325.18182;71839;72352.81818
Ninh Bình;Kim Sơn;District;178021.24521;179646.61175;181286.81818;182942;184597.18182
Ninh Bình;Nho Quan;District;147997.43165;148605.78367;149216.63636;149830;150443.36364
Ninh Bình;Ninh Bình;District-level City;123649.38345;125239.06388;126849.18182;128480;130110.81818
Ninh Bình;Tam Điệp;District-level City;60750.63478;61447.72704;62152.81818;62866;63579.18182
Ninh Bình;Yên Khánh;District;143377.8634;144597.83239;145828.18182;147069;148309.81818
Ninh Bình;Yên Mô;District;116256.10491;116989.10529;117726.72727;118469;119211.27273
Ninh Thuận;Ninh Thuận;Province;583546.75783;585844.4463;588151.18182;590467;592782.81818
Ninh Thuận;Bác Ái;District;28913.35382;29464.33615;30025.81818;30598;31170.18182
Ninh Thuận;Ninh Hải;District;91466.4858;91720.61713;91975.45455;92231;92486.54545
Ninh Thuận;Ninh Phước;District;127387.61614;127600.72073;127814.18182;128028;128241.81818
Ninh Thuận;Ninh Sơn;District;71763.70806;71805.11481;71846.54545;71888;71929.45455
Ninh Thuận;Phan Rang - Tháp Chàm;District-level City;165854.01948;166365.76569;166879.09091;167394;167908.90909
Ninh Thuận;Thuận Bắc;District;41825.12439;42318.24613;42817.18182;43322;43826.81818
Ninh Thuận;Thuận Nam;District;56369.11392;56580.61472;56792.90909;57006;57219.09091
Phú Thọ;Phú Thọ;Province;1423909.76539;1437060.02294;1450331.72727;1463726;1477120.27273
Phú Thọ;Cẩm Khê;District;135730.28928;136950.52324;138181.72727;139424;140666.27273
Phú Thọ;Đoan Hùng;District;112053.02602;113069.76385;114095.72727;115131;116166.27273
Phú Thọ;Hạ Hòa;District;104962.91278;104974.27396;104985.63636;104997;105008.36364
Phú Thọ;Lâm Thao;District;105786.86796;106515.87662;107249.90909;107989;108728.09091
Phú Thọ;Phù Ninh;District;106460.89459;107956.48749;109473.09091;111011;112548.90909
Phú Thọ;Phú Thọ;District-level Town;70038.15583;70242.50707;70447.45455;70653;70858.54545
Phú Thọ;Tam Nông;District;84575.8741;85679.7783;86798.09091;87931;89063.90909
Phú Thọ;Tân Sơn;District;83113.73156;83977.1537;84849.54545;85731;86612.45455
Phú Thọ;Thanh Ba;District;113448.72818;114118.52323;114792.27273;115470;116147.72727
Phú Thọ;Thanh Sơn;District;128958.12226;130334.66879;131725.90909;133132;134538.09091
Phú Thọ;Thanh Thủy;District;82182.01629;82987.42515;83800.72727;84622;85443.27273
Phú Thọ;Việt Trì;District-level City;206674.17933;209340.57135;212041.36364;214777;217512.63636
